mode,strategy,source_count,seed,all_cleared,cleared_count,clearance_ratio,per_source_s,total_time_s,program_runtime_s,termination_reason,failure,exit_failure,movement_s,measurement_s,switching_s,clearance_s
previous,对照组_上一版联合路线,14,70262919,True,14,1.0,247.02624826338706,3458.367475687419,0.5619755999941844,all_cleared,,,2598.3674756874193,665.0,125.0,70.0
route_pool,实验组_第二版路线候选池,14,70262919,True,14,1.0,230.80856799785738,3231.3199519700033,1.6933513000039966,all_cleared,,,2506.319951970004,550.0,105.0,70.0
previous,对照组_上一版联合路线,14,70262920,True,14,1.0,264.2011651795714,3698.816312513999,0.6236935999986599,all_cleared,,,2761.816312514,735.0,132.0,70.0
route_pool,实验组_第二版路线候选池,14,70262920,True,14,1.0,248.77214521549018,3482.8100330168627,1.6105728999973508,all_cleared,,,2678.8100330168627,620.0,114.0,70.0
previous,对照组_上一版联合路线,14,70262921,True,14,1.0,231.8070862003314,3245.2992068046397,0.611064400000032,all_cleared,,,2325.2992068046397,715.0,135.0,70.0
route_pool,实验组_第二版路线候选池,14,70262921,True,14,1.0,227.04151485330723,3178.581207946301,2.2622107999995933,all_cleared,,,2420.581207946302,580.0,108.0,70.0
previous,对照组_上一版联合路线,14,70262922,True,14,1.0,278.68290731108056,3901.5607023551274,0.6590473999967799,all_cleared,,,2997.5607023551283,705.0,129.0,70.0
route_pool,实验组_第二版路线候选池,14,70262922,True,14,1.0,273.67932230271794,3831.5105122380514,1.8110909000024549,all_cleared,,,2938.510512238052,695.0,128.0,70.0
previous,对照组_上一版联合路线,14,70262923,True,14,1.0,257.80353673654264,3609.2495143115966,0.6182971999951405,all_cleared,,,2613.2495143115966,780.0,146.0,70.0
route_pool,实验组_第二版路线候选池,14,70262923,True,14,1.0,251.59352624699287,3522.3093674579,1.8939322000005632,all_cleared,,,2732.309367457901,610.0,110.0,70.0
previous,对照组_上一版联合路线,14,70262924,True,14,1.0,243.71882846710938,3412.063598539531,0.512972999997146,all_cleared,,,2518.0635985395315,695.0,129.0,70.0
route_pool,实验组_第二版路线候选池,14,70262924,True,14,1.0,216.2534110542313,3027.547754759238,1.721136000000115,all_cleared,,,2310.5477547592377,545.0,102.0,70.0
previous,对照组_上一版联合路线,14,70262925,True,14,1.0,247.1350434297162,3459.890608016027,0.6843035000056261,all_cleared,,,2559.8906080160273,700.0,130.0,70.0
route_pool,实验组_第二版路线候选池,14,70262925,True,14,1.0,226.01391138258052,3164.194759356127,2.1098199999978533,all_cleared,,,2457.1947593561263,535.0,102.0,70.0
previous,对照组_上一版联合路线,14,70262926,True,14,1.0,235.9206002471319,3302.8884034598464,0.5794628000003286,all_cleared,,,2466.8884034598473,645.0,121.0,70.0
route_pool,实验组_第二版路线候选池,14,70262926,True,14,1.0,209.5479738014049,2933.671633219669,1.4074757999987924,all_cleared,,,2146.671633219669,605.0,112.0,70.0
previous,对照组_上一版联合路线,14,70262927,True,14,1.0,228.00835576228786,3192.11698067203,0.40070640000340063,all_cleared,,,2437.1169806720304,575.0,110.0,70.0
route_pool,实验组_第二版路线候选池,14,70262927,True,14,1.0,232.20308161772846,3250.8431426481984,1.2487836999935098,all_cleared,,,2490.843142648199,580.0,110.0,70.0
previous,对照组_上一版联合路线,14,70262928,True,14,1.0,193.69629397226166,2711.7481156116633,0.41396220000024186,all_cleared,,,1952.7481156116637,580.0,109.0,70.0
route_pool,实验组_第二版路线候选池,14,70262928,True,14,1.0,191.1544864247177,2676.1628099460477,1.6536369000023114,all_cleared,,,1960.162809946048,545.0,101.0,70.0
previous,对照组_上一版联合路线,14,70262929,True,14,1.0,238.88709633959385,3344.419348754314,0.43567569999868283,all_cleared,,,2536.419348754314,620.0,118.0,70.0
route_pool,实验组_第二版路线候选池,14,70262929,True,14,1.0,228.77663834571544,3202.8729368400163,1.3235103000042727,all_cleared,,,2498.8729368400163,535.0,99.0,70.0
previous,对照组_上一版联合路线,14,70262930,True,14,1.0,242.82887022583887,3399.604183161744,0.500709400002961,all_cleared,,,2577.604183161744,630.0,122.0,70.0
route_pool,实验组_第二版路线候选池,14,70262930,True,14,1.0,231.35811340310008,3239.013587643401,1.9924585000044317,all_cleared,,,2472.013587643401,585.0,112.0,70.0
previous,对照组_上一版联合路线,14,70262931,True,14,1.0,266.01297084858805,3724.181591880233,0.4631487000006018,all_cleared,,,2905.181591880234,630.0,119.0,70.0
route_pool,实验组_第二版路线候选池,14,70262931,True,14,1.0,255.06811643455922,3570.953630083829,2.0583556999990833,all_cleared,,,2756.9536300838286,630.0,114.0,70.0
previous,对照组_上一版联合路线,16,70263912,True,16,1.0,212.2122040190682,3395.395264305091,0.6055857999963337,all_cleared,,,2602.395264305092,605.0,108.0,80.0
route_pool,实验组_第二版路线候选池,16,70263912,True,16,1.0,197.42712158531396,3158.8339453650233,1.859630399994785,all_cleared,,,2366.833945365023,600.0,112.0,80.0
previous,对照组_上一版联合路线,16,70263913,True,16,1.0,198.51791943868278,3176.2867110189245,0.7031923999966239,all_cleared,,,2349.2867110189236,630.0,117.0,80.0
route_pool,实验组_第二版路线候选池,16,70263913,True,16,1.0,214.50130363177956,3432.020858108473,2.12880650000443,all_cleared,,,2655.020858108473,590.0,107.0,80.0
previous,对照组_上一版联合路线,16,70263914,True,16,1.0,212.07896456677355,3393.263433068377,0.5492572000002838,all_cleared,,,2503.263433068377,685.0,125.0,80.0
route_pool,实验组_第二版路线候选池,16,70263914,True,16,1.0,201.45739983954823,3223.3183974327717,1.8510419000012917,all_cleared,,,2470.318397432772,570.0,103.0,80.0
previous,对照组_上一版联合路线,16,70263915,True,16,1.0,212.43021490760057,3398.883438521609,0.5083899000019301,all_cleared,,,2684.8834385216087,535.0,99.0,80.0
route_pool,实验组_第二版路线候选池,16,70263915,True,16,1.0,219.75285133796788,3516.045621407486,1.5585472999955527,all_cleared,,,2796.0456214074857,540.0,100.0,80.0
previous,对照组_上一版联合路线,16,70263916,True,16,1.0,233.01912608948746,3728.3060174317993,0.5326505999983056,all_cleared,,,2879.306017431799,650.0,119.0,80.0
route_pool,实验组_第二版路线候选池,16,70263916,True,16,1.0,232.91168381172804,3726.5869409876486,2.11362889999873,all_cleared,,,2912.586940987649,625.0,109.0,80.0
previous,对照组_上一版联合路线,16,70263917,True,16,1.0,217.0434242444341,3472.6947879109457,0.8793683000039891,all_cleared,,,2547.6947879109453,715.0,130.0,80.0
route_pool,实验组_第二版路线候选池,16,70263917,True,16,1.0,199.9360563007566,3198.9769008121057,2.406694500001322,all_cleared,,,2427.9769008121048,585.0,106.0,80.0
previous,对照组_上一版联合路线,16,70263918,True,16,1.0,201.63228742325933,3226.1165987721492,0.7283163999964017,all_cleared,,,2469.1165987721492,575.0,102.0,80.0
route_pool,实验组_第二版路线候选池,16,70263918,True,16,1.0,197.85034356217525,3165.605496994804,2.087861200001498,all_cleared,,,2498.605496994804,500.0,87.0,80.0
previous,对照组_上一版联合路线,16,70263919,True,16,1.0,251.26546482001083,4020.2474371201733,0.5961940999986837,all_cleared,,,3178.247437120173,645.0,117.0,80.0
route_pool,实验组_第二版路线候选池,16,70263919,True,16,1.0,239.15887861790432,3826.542057886469,1.831819600003655,all_cleared,,,3019.542057886469,615.0,112.0,80.0
previous,对照组_上一版联合路线,16,70263920,True,16,1.0,218.9713212258725,3503.54113961396,0.6599722000028123,all_cleared,,,2735.5411396139602,580.0,108.0,80.0
route_pool,实验组_第二版路线候选池,16,70263920,True,16,1.0,216.1200894307548,3457.921430892077,2.117263100000855,all_cleared,,,2698.9214308920764,575.0,104.0,80.0
previous,对照组_上一版联合路线,16,70263921,True,16,1.0,217.52085631854092,3480.3337010966547,0.767959199998586,all_cleared,,,2680.333701096655,610.0,110.0,80.0
route_pool,实验组_第二版路线候选池,16,70263921,True,16,1.0,212.06373701695284,3393.0197922712455,2.9510033999977168,all_cleared,,,2631.0197922712446,580.0,102.0,80.0
previous,对照组_上一版联合路线,16,70263922,True,16,1.0,215.07324776317355,3441.171964210777,0.6081071000007796,all_cleared,,,2619.1719642107773,625.0,117.0,80.0
route_pool,实验组_第二版路线候选池,16,70263922,True,16,1.0,217.88491058934466,3486.1585694295145,2.073245000006864,all_cleared,,,2712.1585694295145,585.0,109.0,80.0
previous,对照组_上一版联合路线,16,70263923,True,16,1.0,191.75495990740586,3068.079358518494,0.6605074000035529,all_cleared,,,2312.079358518494,570.0,106.0,80.0
route_pool,实验组_第二版路线候选池,16,70263923,True,16,1.0,188.21649282020343,3011.463885123255,1.99295020000136,all_cleared,,,2330.4638851232553,510.0,91.0,80.0
previous,对照组_上一版联合路线,16,70263924,True,16,1.0,209.10421118383502,3345.6673789413603,0.5427366000003531,all_cleared,,,2520.66737894136,630.0,115.0,80.0
route_pool,实验组_第二版路线候选池,16,70263924,True,16,1.0,182.96911862077476,2927.5058979323962,1.5160214999996242,all_cleared,,,2180.5058979323962,560.0,107.0,80.0
previous,对照组_上一版联合路线,16,70263925,True,16,1.0,200.72734201200475,3211.637472192076,0.5677583999931812,all_cleared,,,2270.637472192077,725.0,136.0,80.0
route_pool,实验组_第二版路线候选池,16,70263925,True,16,1.0,183.10703700532522,2929.7125920852036,1.6938007999997353,all_cleared,,,2193.7125920852022,555.0,101.0,80.0
previous,对照组_上一版联合路线,16,70263926,True,16,1.0,230.58867431555655,3689.4187890489047,0.6397942999974475,all_cleared,,,2852.4187890489047,640.0,117.0,80.0
route_pool,实验组_第二版路线候选池,16,70263926,True,16,1.0,207.96333147457628,3327.4133035932205,2.522805499997048,all_cleared,,,2647.4133035932205,510.0,90.0,80.0
previous,对照组_上一版联合路线,16,70263927,True,16,1.0,212.4640106889517,3399.4241710232272,0.5609754000033718,all_cleared,,,2644.4241710232263,570.0,105.0,80.0
route_pool,实验组_第二版路线候选池,16,70263927,True,16,1.0,217.94065068018594,3487.050410882975,2.4256381999948644,all_cleared,,,2781.0504108829746,525.0,101.0,80.0
previous,对照组_上一版联合路线,16,70263928,True,16,1.0,190.73875453775008,3051.8200726040013,0.6742541999992682,all_cleared,,,2320.8200726040013,550.0,101.0,80.0
route_pool,实验组_第二版路线候选池,16,70263928,True,16,1.0,198.23102463270797,3171.6963941233275,2.9028717999972287,all_cleared,,,2467.6963941233275,530.0,94.0,80.0
previous,对照组_上一版联合路线,16,70263929,True,16,1.0,198.02875408250577,3168.4600653200923,0.5856045999971684,all_cleared,,,2395.4600653200914,585.0,108.0,80.0
route_pool,实验组_第二版路线候选池,16,70263929,True,16,1.0,199.93441852536168,3198.950696405787,2.00459260000207,all_cleared,,,2538.9506964057878,490.0,90.0,80.0
previous,对照组_上一版联合路线,16,70263930,True,16,1.0,217.0000679483012,3472.001087172819,0.5301619000019855,all_cleared,,,2680.001087172819,600.0,112.0,80.0
route_pool,实验组_第二版路线候选池,16,70263930,True,16,1.0,194.0253059734473,3104.404895575157,1.8736102000038954,all_cleared,,,2407.4048955751573,520.0,97.0,80.0
previous,对照组_上一版联合路线,16,70263931,True,16,1.0,223.12254845863677,3569.9607753381883,0.7227058999997098,all_cleared,,,2766.960775338189,610.0,113.0,80.0
route_pool,实验组_第二版路线候选池,16,70263931,True,16,1.0,214.61119389499498,3433.7791023199197,1.8870081000059145,all_cleared,,,2723.77910231992,535.0,95.0,80.0
